,City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temperature,Wind Speed
136,jamestown,90,US,1578870565,86,42.1,-79.24,32.0,4.7
137,mar del plata,0,AR,1578870754,68,-38.0,-57.56,64.99,10.29
138,savalou,31,BJ,1578870759,68,7.93,1.98,81.14,7.94
139,suna,100,RU,1578870759,92,57.83,50.06,26.26,18.21
140,yarada,40,IN,1578870759,93,17.65,83.27,64.4,2.24
141,bandarbeyla,73,SO,1578870759,80,9.49,50.81,77.52,27.25
142,ancud,38,CL,1578870759,56,-41.87,-73.82,71.6,5.82
143,sabang,37,ID,1578870759,70,5.89,95.32,81.64,5.88
144,takaka,66,NZ,1578870252,72,-40.85,172.8,78.01,3.0
145,east london,3,ZA,1578870759,87,-33.02,27.91,74.16,8.84
146,chicama,20,PE,1578870760,83,-7.84,-79.15,71.6,11.41
147,saint anthony,90,US,1578870760,78,45.02,-93.22,19.99,10.29
148,andilamena,87,MG,1578870760,95,-17.02,48.58,63.99,2.19
149,prince rupert,1,CA,1578870760,66,54.32,-130.32,15.8,9.17
150,margate,32,GB,1578870065,93,51.38,1.39,46.4,6.93
151,tasiilaq,100,GL,1578870760,49,65.61,-37.64,24.8,16.11
152,puerto ayora,9,EC,1578870760,58,-0.74,-90.35,84.2,18.34
153,saint-philippe,75,RE,1578870760,78,-21.36,55.77,77.0,5.82
154,chuy,0,UY,1578870761,64,-33.7,-53.46,65.77,8.23
155,cove,0,BJ,1578870761,89,7.22,2.34,76.78,3.67
156,ponta do sol,40,PT,1578870761,67,32.67,-17.1,62.6,5.82
157,meulaboh,15,ID,1578870761,81,4.14,96.13,80.06,8.88
158,la ronge,90,CA,1578870761,77,55.1,-105.28,1.4,5.82
159,pocone,95,BR,1578870762,88,-16.26,-56.62,78.82,0.81
160,cherskiy,100,RU,1578870762,98,68.75,161.3,-9.27,9.01
161,hasaki,75,JP,1578870763,100,35.73,140.83,39.0,3.36
162,juegang,80,CN,1578870765,90,32.32,121.19,36.0,1.9
163,padang,99,ID,1578870765,89,-0.95,100.35,68.36,3.38
164,aranos,23,NA,1578870765,48,-24.13,19.12,78.48,7.81
165,yangjiang,49,CN,1578870157,55,21.85,111.97,58.06,5.01
166,kaitangata,43,NZ,1578870765,65,-46.28,169.85,55.0,13.0
167,point pleasant,1,US,1578870765,50,40.08,-74.07,60.8,6.93
168,naze,75,JP,1578870236,58,28.37,129.48,60.8,14.99
169,kolpashevo,99,RU,1578870766,95,58.31,82.91,6.93,6.17
170,hofn,21,IS,1578870766,65,64.25,-15.21,38.71,29.64
171,moramanga,77,MG,1578870766,95,-18.93,48.2,64.99,0.94
172,lagoa,30,PT,1578870766,73,39.05,-27.98,58.96,30.15
173,aljezur,8,PT,1578870766,60,37.32,-8.8,53.01,6.38
174,iqaluit,75,CA,1578870644,63,63.75,-68.51,-11.0,8.05
175,camacha,40,PT,1578870766,72,33.08,-16.33,62.6,6.93
176,standerton,92,ZA,1578870767,95,-26.93,29.24,63.0,6.85
177,maputo,20,MZ,1578870674,78,-25.97,32.59,80.6,3.36
178,huoqiu,83,CN,1578870767,82,32.34,116.27,38.93,3.47
179,parsabad,100,IR,1578870767,93,39.65,47.92,39.2,2.24
180,okato,100,NZ,1578870767,88,-39.2,173.88,60.01,8.99
181,kisaran,75,ID,1578870767,93,2.98,99.62,71.55,1.74
182,shimoda,0,JP,1578870767,64,34.67,138.95,45.0,5.01
183,ilulissat,100,GL,1578870767,40,69.22,-51.1,-0.4,5.82
184,nome,90,US,1578870768,92,64.5,-165.41,17.01,14.99
185,oran,20,DZ,1578870722,93,35.69,-0.64,42.8,2.24
186,quatre cocos,40,MU,1578870768,78,-20.21,57.76,78.8,9.17
187,dikson,100,RU,1578870768,96,73.51,80.55,-11.6,15.41
188,ambilobe,100,MG,1578870768,92,-13.2,49.05,74.5,6.42
189,toropets,100,RU,1578870768,94,56.5,31.64,37.42,12.17
190,kamaishi,75,JP,1578870768,100,39.27,141.88,30.2,4.7
191,bathsheba,75,BB,1578870768,69,13.22,-59.52,78.8,23.04
192,castro,100,BR,1578870768,95,-24.79,-50.01,67.93,8.61
193,leningradskiy,97,RU,1578870768,97,69.38,178.42,-4.36,9.71
194,puerto penasco,20,MX,1578870739,55,31.32,-113.53,61.0,3.0
195,tokmak,38,UA,1578870769,78,47.25,35.71,29.8,4.7
196,deulgaon raja,0,IN,1578870769,44,20.02,76.03,59.77,3.67
197,hede,98,CN,1578870637,58,33.77,120.25,38.82,2.82
198,bereda,90,ES,1578870770,81,43.27,-7.54,52.0,6.93
199,salisbury,20,GB,1578870770,93,51.07,-1.8,46.0,1.12
200,muncar,100,ID,1578870770,76,-8.43,114.33,81.23,9.86
201,priargunsk,0,RU,1578870770,95,50.37,119.1,-18.85,2.13
202,tuktoyaktuk,5,CA,1578870770,75,69.45,-133.04,-14.8,8.05
203,kavieng,100,PG,1578870770,77,-2.57,150.8,83.89,13.13
204,kota belud,75,MY,1578870771,94,6.35,116.43,75.2,3.36
205,karpogory,100,RU,1578870771,95,64.0,44.45,32.09,12.48
206,timmins,20,CA,1578870572,70,48.47,-81.33,-0.4,5.82
207,bad mergentheim,90,DE,1578870771,93,49.49,9.77,39.0,8.05
208,russell,90,US,1578870771,82,32.35,-85.2,68.0,2.53
209,carnarvon,40,AU,1578870771,65,-24.87,113.63,77.0,13.87
210,olga,0,RU,1578870771,60,43.74,135.29,18.54,15.32
211,fukue,75,JP,1578870586,61,32.69,128.84,46.4,14.99
212,ucluelet,20,CA,1578870577,64,48.93,-125.55,37.4,27.51
213,shakhovskaya,100,RU,1578870772,97,56.03,35.51,35.71,14.36
214,mangan,0,IN,1578870772,29,27.52,88.53,37.63,4.09
215,ginda,92,IN,1578870772,47,30.69,78.49,47.23,4.36
216,olafsvik,100,IS,1578870259,74,64.89,-23.71,27.9,37.29
217,port lincoln,0,AU,1578870727,31,-34.73,135.87,82.69,7.78
218,sabla,30,NG,1578870773,27,12.75,4.71,78.37,6.73
219,tazovskiy,17,RU,1578870773,93,67.47,78.7,-13.63,10.42
220,matara,39,LK,1578870773,93,5.95,80.54,71.24,2.89
221,faanui,100,PF,1578870774,80,-16.48,-151.75,80.53,17.81
222,san jose,1,US,1578870120,58,37.34,-121.89,55.99,6.93
223,faya,0,SA,1578870591,48,18.39,42.45,42.8,5.37
224,saskylakh,100,RU,1578870774,94,71.92,114.08,3.22,12.64
225,egvekinot,100,RU,1578870774,95,66.32,-179.17,13.78,9.62
226,bjerkvik,90,NO,1578870774,80,68.56,17.52,35.6,12.75
227,ust-omchug,73,RU,1578870217,99,61.15,149.63,-30.41,2.68
228,tiksi,100,RU,1578870775,87,71.69,128.87,-9.71,10.49
229,fairlie,75,GB,1578870775,81,55.76,-4.86,43.0,14.99
230,codrington,0,AU,1578870775,62,-38.27,141.97,62.56,2.57
231,virginia beach,40,US,1578870694,82,36.85,-75.98,69.8,5.57
232,aksarka,94,RU,1578870775,93,66.56,67.8,8.15,18.5
233,kasane,100,BW,1578870775,91,-17.82,25.15,68.65,3.96
234,pathein,0,MM,1578870507,86,16.78,94.73,67.8,4.97
235,gushikawa,81,JP,1578870611,51,26.35,127.87,62.6,10.29
236,nikolskoye,90,RU,1578870775,93,59.7,30.79,41.0,8.95
237,west richland,40,US,1578870776,61,46.3,-119.36,48.2,24.16
238,namatanai,100,PG,1578870280,74,-3.67,152.43,84.06,6.96
239,mathathane,64,BW,1578870776,56,-22.27,28.75,76.5,6.96
240,goderich,100,CA,1578870703,89,43.75,-81.72,30.99,1.01
241,orsha,100,BY,1578870776,92,54.52,30.41,33.96,15.01
242,kenai,90,US,1578870776,85,60.55,-151.26,15.01,14.99
243,pontal do parana,90,BR,1578870609,78,-25.65,-48.51,78.8,11.41
244,kaura namoda,13,NG,1578870776,26,12.59,6.58,75.06,8.86
